key,smu,score,heading,category,date,description
E012,5188,1,Mercedes City Park,City Park,1909,"This postcard shows an early view of Mercedes City Park. The grounds are not yet landscaped, but there are several native Sabal Palms on the right side. A white fence surrounds the park, and the streets are unpaved and rutted. The building near the center is the original American Rio Grande Land and Irrigation building, and to its right, a corner of the Mercedes Hotel Annex building can be seen. The train depot was to the left of the park, and the main Mercedes Hotel building was on the south side of the unpaved road."
U001,5543,5,1910 Mercedes Produced The First Bale in the United States,Agriculture,1910,"During the early 1900s, Hidalgo was consistently a top cotton producing county in Texas. Mercedes frequently ginned the first cotton brought to market for the season, resulting in the highest prices for the farmers.  An article  about Rio Grande Valley agriculture stated 'cotton acreage peaked in 1951 after a January freeze nearly wiped out citrus...Officially, the acreage was 880,700 acres, but some estimate it closer to 1 million acres...Lately, cotton averages about 100,000 acres.  And the number of active gins has declined from 107 gins in 1952 to about 10 today...Poor market prices and the higher cost of cotton production in the U.S. as compared to China and other countries have forced many Rio Grande Valley farmers to change the crops they grow.' [1]"
L010,5334,10,Stokely Brothers Fruit and Vegetable Company Moved into Unused Power Plant,Agriculture,1940,"In the 1940s, Stokely Brothers Fruit and Vegetable Canners and Growers moved into the old Mercedes Power Plant. The company eventually became Stokely-Van Camp, which manufactured frozen foods and developed Army C rations during WWII. Stokely-Van Camp later acquired the rights to produce and market Gatorade. [34]

To the left, two trucks are loading grapefruit onto a conveyor belt. The unused Mercedes Power Plant smokestack is on the far left.  Look closely at the main door to see workers carry boxes into the building and three men standing in a truck bed."
B011,5200,10,Anacahuitas Lake Was On Land Granted to Captain Juan Hinojosa in 1790,Ranch,1907,"The Anacahuitas (Wild Olive Tree) Ranch was established in 1790 on part of the Llano Grande Grant tract, which Spain had granted to Juan Jose Hinojosa de Balli. The ranch had half a mile of  Rio Grande riverfront and extended north into the area that now includes Mercedes. Early descendants of Hinojosa built a large ranch house by a lake on the land. Later descendant Domiciano Cavazos set aside land for a cemetery in 1906, and many family members were buried there. The ranch was eventually sold to a developer, and Anacahuitas Lake became a popular site for recreation. Today, the Rio Grande Valley Stock Show Grounds sit on land that was once part of the Anacuitas Ranch. The historic family cemetery remains, located North of Expressway 83 in Mercedes, on west side of FM 491  (Baseline Road) where it crosses the main canal. [3] [73] "
R001,5502,10,Residents Met Arriving Trains in Mercedes City Park,City Park,1906," The American Land and Irrigation Company built Mercedes City Park to welcome passengers to the new city.  The park plaza featured lush landscaping and had a bandstand.  It was located  immediately south of the train station, between Texas Avenue and Missouri Avenue.  Look closely at the upper right of this postcard to see a railroad car and the temporary train platform. A more permanent Railroad Depot was built a year later.  Mercedes author and historian G.G. Garcia recalls that 'people would would stroll around the plaza waiting for the evening train to post letters'. [92]

"
X001,5522,10,A-MUZ-U Theater near Camp Llano Grande West of Mercedes,Entertainment,1916,"Theaters and cafes popped up near Mercedes to entertain the soldiers and servicemen. at Camp Llano Grande. The A-MUZ-U Theater was a popular destination.  It would have been showing silent movies as talkies  were not available until the mid 20's. Eateries such as the  Cold Milk and Pie Shop must have also been popular destinations for the soldiers.

According to the Mercedes Tribune in August 1917,  soldiers from Indiana hosted an Indiana Night benefit at the A-Muz-U theater to raise money for the Camp Llano Grande YMCA building. Three home movies from Indiana were shown:  a garden dance party given by one of the soldier's cousins, the funeral of an Indiana poet, and  footage of a Indiana University vs Perdue football game. [47] "
F002,5313,10,"Mercedes General Hospital, Now Site of  Senior Apartments",Body and Soul,1950,"The Mercedes Elks Lodge established a small hospital in 1922. In 1928 they replaced it with the larger hospital building in this postcard. The hospital had 12 private rooms and an open ward. The building featured a red tile roof, soft arches, and white stucco,  typical of Spanish Colonial Revival architecture at that time. In the 1930s,  the Elks Club was no longer able to sustain the hospital. The city took over and renamed it Mercedes General Hospital. It served the town of Mercedes until the 1960s. [66]

Early Mercedes physicians included Dr. Caldera, Dr De La Torre, Dr Edwards, Dr Caballero, and Dr Johnston. Dr Johnston and Dr Caballero owned their own hospital on 3rd street where their clinic still exists today.  Dr. Hector P. Garcia,  physician and activity for whom the local library named, was born in Mercedes. [15] "
J003,5374,10,,Infrastructure,1907,"The American Rio Grande Land and Irrigation Company had a grand plan to transform the Rio Grande Valley region into an agricultural oasis. The first step was to construct an electric power plant to pump water from the Rio Grande River into irrigation canals. The plant's coal-fired steam engines began generating electricity for the pumps in 1906, and also provided power to Mercedes's homes and businesses. Mercedes was the first city within a hundred-mile radius to have electric lights. Even Brownsville, a much larger city, did not have electricity until 1908.  Gulf Coast magazine wrote in 1906 these words.  Within the electric power station's four massive walls are housed the four great engines that will provide the power for the stupendous irrigation scheme that is the foundation of the company's activity, and the various and varied activities that will surely follow in later years. [22]"
B001,5173,10,Gambling and Vice Flourished In Rio Rico Near Mercedes Pumping Station,Events,1907,"This postcard depicts a crowd watching a cockfight in the rough and tumble community of Rio Rico south of Mercedes. Rio Rico was originally located north of the Rio Grande River on land surrounded by a bend in the river. In July 1906, the American Rio Grande Land and Irrigation Company built a cutoff to direct the river into a more direct course. As a result, Río Rico came to be located south of the border in Mexico. No longer clearly part of either the United States or Mexico, Río Rico became a lawless territory where gambling, dance halls, and saloons flourished.  The Tivoli, named after a renowned nightclub in Italy, was the first and most well-known nightclub. [43] [75] [94]"
E008,5191,10,Buck School Opened in 1912  Was the First School Building in Mercedes,Schools,1912,"In 1912 construction of the first public school building in Mercedes was completed. It was located on the Northeast corner  of Texas Avenue and 5th Street.  The school served all grades from elementary to high school, The first graduating class of 1914 had only one student. In 1915, there were four graduates

The school was built in a style that combined Spanish colonial arches and stucco  with  New England features including dormers and crescent-shaped windows. There was no air conditioning but the  classrooms had windows and doors featuring transom windows to provide fresh air.

Initially referred to as the school house, the school was later named the Buck School in honor of Harriet Claycomb Buck, the mother of Nannie Buck, who was school superintendent from 1915 to 1923. [27]"
